id,project_id,kicc_project_id,title,teaser,background_objectives,tasks_eligibility,country,theme,duration,difficulty,headcount,total_headcount,cover_image,cover_image_blob,cover_image_blob_mime,cover_image_blob_name,cover_image_url,application_deadline,start_date,end_date,is_active,is_hero_highlight,is_featured,created_at,updated_at
1,project_id_1,,2017.08.07 創立年菁英領袖計畫-遊學台東、做志工活動起源,Join us for 2017.08.07 創立年菁英領袖計畫-遊學台東、做志工活動起源,An exciting volunteer opportunity in Taiwan.,Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,9,21,,,,,wix:image://v1/99728a_de1775ee6a3844aca1040f3b20bb2ce3~mv2.jpg/004.jpg#originWidth=200&originHeight=200,2017-07-24T23:59:59Z,2017-08-07,2017-08-09,True,True,True,2023-07-02T13:54:47Z,2023-11-17T12:45:35Z
2,project_id_2,,2018.08.06 第一屆菁英領袖計畫-培訓營,Join us for 2018.08.06 第一屆菁英領袖計畫-培訓營,An exciting volunteer opportunity in Taiwan.,Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,6,27,,,,,wix:image://v1/5150f3_d2e0c7ef8c5744adabbc1f206f150f8a~mv2.jpg/c62b4551223cdfe6702f7cae686242d28_4620693218520327003_180810_0152.jpg#originWidth=1478&originHeight=1108,2018-07-23T23:59:59Z,2018-08-06,2018-08-07,True,True,True,2023-07-02T13:16:17Z,2023-11-17T12:45:35Z
3,project_id_3,,2023.01.22第五屆全球菁英計畫-美國加州 La Salle High School  拉賽爾高中,Join us for 2023.01.22第五屆全球菁英計畫-美國加州 La Salle High School  拉賽爾高中,An exciting volunteer opportunity in Taiwan.,Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,14,20,,,,,wix:image://v1/719c6f_d7171932191a4c50982ff7fd6f7e114c~mv2.jpg/IMG_3098.JPG#originWidth=4032&originHeight=3024,2023-01-08T23:59:59Z,2023-01-22,2023-02-06,True,True,True,2023-07-03T00:42:38Z,2023-11-17T12:45:35Z
4,project_id_4,,2017.07.11 創立年-全球貢(共)學志工協會創立晚會,Join us for 2017.07.11 創立年-全球貢(共)學志工協會創立晚會,An exciting volunteer opportunity in Taiwan.,Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,10,24,,,,,wix:image://v1/5150f3_56b1b6d1da854eb2a19cb527b93ce0c9~mv2.jpg/18813849_2311550679069242_4519977278926167815_n.jpg#originWidth=960&originHeight=540,2017-07-18T23:59:59Z,2017-08-01,2017-08-15,True,False,True,2023-07-02T23:35:48Z,2023-11-17T12:45:35Z
5,project_id_5,,2019.07.01第二屆菁英領袖計畫-中央大學  職涯論壇夏令營,Join us for 2019.07.01第二屆菁英領袖計畫-中央大學  職涯論壇夏令營,An exciting volunteer opportunity in Taiwan.,Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,15,29,,,,,wix:image://v1/99728a_c20031abf4e143f189610635b9d1dbb4~mv2.jpg/%E4%B8%AD%E5%A4%AE%E5%A4%A7%E5%AD%B8%E8%81%B7%E6%B6%AF%E8%AB%96%E5%A4%8F%E4%BB%A4%E7%87%9F%E7%BE%8E%E5%9C%8B%E4%BF%84%E5%8B%92%E5%B2%A1%E5%B7%9E%E9%AB%98%E4%B8%AD%E7%94%9F%E9%80%B2%E8%A1%8C%E7%BE%8E%E5%9C%8B%E6%96%87%E5%8C%96%E4%BA%A4%E6%B5%81%E5%88%86%E4%BA%AB.jpg#originWidth=526&originHeight=701,2019-06-17T23:59:59Z,2019-07-01,2019-08-31,True,False,True,2023-07-02T08:42:33Z,2023-11-17T12:45:35Z
6,project_id_6,,2017.06.17 創立年菁英領袖計畫-菁英領袖計畫 台東志工,Join us for 2017.06.17 創立年菁英領袖計畫-菁英領袖計畫 台東志工,An exciting volunteer opportunity in Taiwan.,Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,12,26,,,,,wix:image://v1/5150f3_575452c90ef9471fb5eeee2f3af0a9a6~mv2.jpg/21728307_1742862056018128_3308055507555561560_n.jpg#originWidth=200&originHeight=200,2017-07-18T23:59:59Z,2017-08-01,2017-08-15,True,False,False,2023-07-02T23:05:58Z,2023-11-17T12:45:35Z
7,project_id_7,,202406 | 第六屆全球菁英領袖計畫 國際志工@泰國清萊,Join us for 202406 | 第六屆全球菁英領袖計畫 國際志工@泰國清萊,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""zf2b31288"",""nodes"":[],""paragraphData"":{}},{""type"":""VIDEO"",""id"":""qsct11281"",""nodes"":[],""videoData"":{""containerData"":{""width"":{""size"":""CONTENT""},""alignment"":""CENTER"",""textWrap"":true},""video"":{""src"":{""id"":""video/147cc0_de0684d8bb1c4ce8b2eff5b7a0c19b0d/720p/mp4/file.mp4""},""duration"":59.125},""thumbnail"":{""src"":{""id"":""media/147cc0_de0684d8bb1c4ce8b2eff5b7a0c19b0df000.jpg""},""width"":1280,""height"":720}}},{""type"":""PARAGRAPH"",""id"":""6f90f1299"",""nodes"":[],""paragraphData"":{}},{""type"":""PARAGRAPH"",""id"":""4muk21968"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""1.計畫宗旨 Project Purpose:"",""decorations"":[{""type"":""COLOR"",""colorData"":{""background"":"""",""foreground"":""black""}}]}}],""paragraphData"":{}},{""type"":""PARAGRAPH"",""id"":""xc2s62058"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""GDA國際志工團隊泰國清萊之旅的目的在於力促青年發揮GDA立會的信念，即貢獻所學、共同學習的精神。透過參與國際志工服務、教育和文化交流，我們致力於建立國際友誼。我們期望此行能夠為參與者和當地社區帶來積極的變革和發展，同時促進跨文化理解和共融發展。這是一個共同學習和成長的機會，不僅能提升參與者的全球公民價值觀，深化對全球議題的認識",Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,13,31,,,,,wix:image://v1/11062b_98555c696ead428ebe5c43551fe6a048~mv2.jpeg/An%20elephant%20splashing%20water%20at%20people.jpeg#originWidth=3363&originHeight=2242,2024-07-18T23:59:59Z,2024-08-01,2024-08-15,True,False,False,2023-07-24T05:35:15Z,2024-01-15T17:23:43Z
8,project_id_8,,"202402 | 全球菁英領袖計畫
AHS 在台灣|台南燈會",打造無國界學習交流平台，開拓學生國際視野、提升語言能力，並為躍上國際舞台作準備。現在就報名我們的「全球菁英領袖計畫」！,"{""nodes"":[{""type"":""HEADING"",""id"":""q076n1151"",""nodes"":[{""type"":""TEXT"",""id"":"""",""nodes"":[],""textData"":{""text"":""活動宣傳影片"",""decorations"":[]}}],""headingData"":{""level"":4,""textStyle"":{""textAlignment"":""AUTO""},""indentation"":0}},{""type"":""VIDEO"",""id"":""nm4fc1148"",""nodes"":[],""videoData"":{""containerData"":{""width"":{""size"":""CONTENT""},""alignment"":""CENTER"",""textWrap"":true},""video"":{""src"":{""url"":""https://youtu.be/CqtVeKf0AMw""},""duration"":481},""thumbnail"":{""src"":{}}}},{""type"":""PARAGRAPH"",""id"":""d26tz1152"",""nodes"":[],""paragraphData"":{""textStyle"":{""textAlignment"":""AUTO""},""indentation"":0}}],""metadata"":{""version"":1,""createdTimestamp"":""2023-09-20T05:29:38.016Z"",""updatedTimestamp"":""2023-09-20T05:29:38.016Z"",""id"":""a9374f49-3bc1-46a8-9003-89ebb4b8c4eb""},""documentStyle"":{}}",Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,11,28,,,,,wix:image://v1/11062b_8a8c8ef2b6b14bc3b9e0422771b9b6b6~mv2.jpg/%E5%85%83%E5%AE%B5%E7%AF%80.jpg#originWidth=4800&originHeight=3200,2024-02-02T23:59:59Z,2024-02-16,2024-02-25,True,False,False,2023-08-04T15:05:05Z,2024-04-23T12:16:41Z
9,project_id_9,,2018.12.26 第一屆菁英領袖計畫-桃園市教育局 贈書儀式,Join us for 2018.12.26 第一屆菁英領袖計畫-桃園市教育局 贈書儀式,An exciting volunteer opportunity in Taiwan.,Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,6,21,,,,,wix:image://v1/147cc0_facc54fe337342cf8a0747bd150dad02~mv2.jpg/%E5%85%A8%E9%AB%94%E5%90%88%E7%85%A7-01.jpg#originWidth=1500&originHeight=1000,2018-07-18T23:59:59Z,2018-08-01,2018-08-15,True,False,False,2023-07-02T12:53:25Z,2023-11-17T12:45:35Z
10,project_id_10,,202407 | 泰國清萊國際志工,Join us for 202407 | 泰國清萊國際志工,"{""nodes"":[{""type"":""PARAGRAPH"",""id"":""dhm6t13275"",""nodes"":[],""paragraphData"":{}},{""type"":""PARAGRAPH"",""id"":""ef01i135"",""nodes"":[],""paragraphData"":{}},{""type"":""PARAGRAPH"",""id"":""0xmk0216"",""nodes"":[],""paragraphData"":{}},{""type"":""PARAGRAPH"",""id"":""p9w64226"",""nodes"":[],""paragraphData"":{}},{""type"":""IMAGE"",""id"":""7enb7225"",""nodes"":[],""imageData"":{""containerData"":{""width"":{""size"":""CONTENT""},""alignment"":""CENTER"",""textWrap"":true},""image"":{""src"":{""id"":""09b848_b0bb93ad5d9d4260be70253c85419a19~mv2.jpg""},""width"":775,""height"":1055}}},{""type"":""PARAGRAPH"",""id"":""doyny227"",""nodes"":[],""paragraphData"":{}},{""type"":""PARAGRAPH"",""id"":""w0f9t217"",""nodes"":[],""paragraphData"":{}},{""type"":""PARAGRAPH"",""id"":""48g8o13276"",""nodes"":[],""paragraphData"":{}}],""metadata"":{""version"":1,""createdTimestamp"":""2023-07-24T05:36:14.187Z"",""updatedTimestamp"":""2023-07-24T05:36:14.187Z"",""id"":""87e70222-71aa-4985-89b8-e9b203b29205""},""documentStyle"":{}}",Open to all volunteers passionate about community service.,Taiwan,Community Development,40,Medium,10,28,,,,,wix:image://v1/11062b_e298cfdb13fc435c87ec381beb6fc85e~mv2.jpg/%E6%8B%B3%E9%A0%AD%E7%A2%B0%E6%92%9E.jpg#originWidth=5760&originHeight=3840,2024-07-18T23:59:59Z,2024-08-01,2024-08-15,True,False,False,2024-01-15T16:16:04Z,2024-01-15T16:20:52Z
